City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
97,gaiman,-43.2897,-65.4929,31.92,29,99,6.96,AR,1706301777
98,papatowai,-46.5619,169.4708,15.64,65,46,7.37,NZ,1706301777
99,koulikoro,14.0,-7.75,21.19,17,3,4.41,ML,1706301777
100,bam,29.106,58.357,14.85,51,76,1.54,IR,1706301777
101,la mira,18.035,-102.3266,29.07,55,0,4.14,MX,1706301777
102,christies beach,-35.1396,138.4698,14.84,78,2,2.65,AU,1706301778
103,whitehorse,60.7161,-135.0538,-19.57,84,100,1.54,CA,1706301778
104,calama,-22.4667,-68.9333,27.27,24,0,10.29,CL,1706301778
105,temirlanovka,42.5994,69.2633,-8.23,74,23,3.04,KZ,1706301778
106,howrah,22.5892,88.3103,14.0,82,89,1.54,IN,1706301778
107,yashkul',46.1711,45.3435,0.05,96,100,2.44,RU,1706301778
108,constantia,44.1833,28.65,2.61,70,95,5.97,RO,1706301779
109,ribeira brava,32.65,-17.0667,21.18,24,73,4.31,PT,1706301779
110,mokopane,-24.1944,29.0097,22.36,65,35,3.1,ZA,1706301779
111,praia da vitoria,38.7333,-27.0667,17.14,94,40,6.62,PT,1706301779
112,udachny,66.4167,112.4,-40.71,100,61,1.67,RU,1706301779
113,anadyr,64.75,177.4833,-31.72,74,0,5.0,RU,1706301779
114,nadym,65.5333,72.5167,-14.3,93,100,2.94,RU,1706301780
115,nyurba,63.2842,118.3319,-43.07,100,99,0.84,RU,1706301780
116,puerto ayora,-0.7393,-90.3518,29.98,89,61,3.13,EC,1706301780
117,invercargill,-46.4,168.35,11.68,85,11,5.81,NZ,1706301780
118,aasiaat,68.7098,-52.8699,-27.02,99,98,2.82,GL,1706301780
119,roma,43.2128,-75.4557,7.27,97,100,1.54,US,1706301780
120,saskatoon,52.1168,-106.6345,-3.01,79,0,4.63,CA,1706301770
121,rongelap,11.1635,166.8941,26.15,57,91,4.07,MH,1706301781
122,palu,-0.8917,119.8707,23.94,92,96,1.24,ID,1706301781
123,dudinka,69.4058,86.1778,-13.54,92,100,7.6,RU,1706301781
124,hermanus,-34.4187,19.2345,22.11,80,100,4.46,ZA,1706301781
125,kununurra,-15.7667,128.7333,25.99,89,40,0.0,AU,1706301781
126,novosokol'niki,56.3463,30.1578,-3.18,99,100,1.05,RU,1706301781
127,san luis de la loma,17.2706,-100.8939,29.42,58,0,2.94,MX,1706301782
128,cabedelo,-6.9811,-34.8339,30.37,76,61,4.86,BR,1706301782
129,jatiroto,-7.8833,111.1167,23.49,94,63,0.62,ID,1706301782
130,loango,-4.6719,11.8312,26.62,90,94,2.2,CG,1706301782
131,palmer,42.1584,-72.3287,4.8,84,100,3.6,US,1706301652
132,salinas,36.6777,-121.6555,18.65,61,0,2.57,US,1706301783
133,mount pearl,47.5166,-52.7813,-5.48,72,75,5.14,CA,1706301783
134,bodo,67.28,14.405,-1.14,96,100,11.32,NO,1706301783
135,susuman,62.7833,148.1667,-41.12,100,83,0.45,RU,1706301783
136,vilyuchinsk,52.9306,158.4028,-6.71,87,100,1.55,RU,1706301783
137,yerofey pavlovich,53.9667,121.9667,-23.83,97,79,1.2,RU,1706301784
138,mossoro,-5.1875,-37.3442,30.97,62,75,6.69,BR,1706301784
